0.994912;0.005088
0.999613;0.000387
0.999682;0.000318
0.999745;0.000255
0.999798;0.000202
0.999837;0.000163
0.999866;0.000134
0.999885;0.000115
0.999895;0.000105
0.999901;0.000099
0.999898;0.000102
0.999889;0.000111
0.999873;0.000127
0.999847;0.000153
0.999812;0.000188
0.999772;0.000228
0.999729;0.000271
0.99969;0.00031
0.999676;0.000324
0.99967;0.00033
0.999672;0.000328
0.999678;0.000322
0.999686;0.000314
0.999696;0.000304
0.999703;0.000297
0.999707;0.000293
0.999708;0.000292
0.999708;0.000292
0.999704;0.000296
0.999698;0.000302
0.999689;0.000311
0.999673;0.000327
0.999649;0.000351
0.999614;0.000386
0.999567;0.000433
0.99951;0.00049
0.999445;0.000555
0.999376;0.000624
0.999299;0.000701
0.999217;0.000783
0.999128;0.000872
0.999028;0.000972
0.998916;0.001084
0.998787;0.001213
0.998641;0.001359
0.998476;0.001524
0.998294;0.001706
0.998097;0.001903
0.997891;0.002109
0.997676;0.002324
0.997454;0.002546
0.997218;0.002782
0.996965;0.003035
0.996694;0.003306
0.996407;0.003593
0.996102;0.003898
0.995772;0.004228
0.995415;0.004585
0.995026;0.004974
0.994598;0.005402
0.994116;0.005884
0.993551;0.006449
0.992874;0.007126
0.992065;0.007935
0.991102;0.008898
0.989975;0.010025
0.988677;0.011323
0.987203;0.012797
0.98554;0.01446
0.983668;0.016332
0.98156;0.01844
0.979187;0.020813
0.976525;0.023475
0.972965;0.027035
0.969587;0.030413
0.965713;0.034287
0.961251;0.038749
0.956063;0.043937
0.950007;0.049993
0.942976;0.057024
0.934887;0.065113
0.925712;0.074288
0.91541;0.08459
0.903905;0.096095
0.890972;0.109028
0.876389;0.123611
0.859978;0.140022
0.841743;0.158257
0.821815;0.178185
0.800331;0.199669
0.777496;0.222504
0.753547;0.246453
0.728805;0.271195
0.704416;0.295584
0.680638;0.319362
0.656559;0.343441
0.632182;0.367818
0.607507;0.392493
0.58254;0.41746
0.557284;0.442716
0.531742;0.468258
0.505925;0.494075
0.479836;0.520164
0.453486;0.546514
0.426886;0.573114
0.400047;0.599953
0.372986;0.627014
0.345717;0.654283
0.318259;0.681741
0.290636;0.709364
0.26287;0.73713
0.234989;0.765011
0.207026;0.792974
0.179013;0.820987
0.150991;0.849009
0.123002;0.876998
0.095095;0.904905
0.067325;0.932675
0.039751;0.960249
0.012436;0.987564
0;1
0;1
